index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,ホンダ,Ｎ−ＢＯＸ＋カスタム,https://www.goo-net.com/usedcar/spread/goo/13/917022092400503715001.html,105.8万円,116.3万円,3.2万km,0,0,車検整備付,2012,660,4,4WD,ガソリン,5D,インパネAT,0,プレミアムディープロッソ・パール,42,−,−,−,3395x1475x1800mm,1050,フルタイム４WD,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,20.6km/リットル,−,1,1,4,4,無し
1,ダイハツ,ミライース,https://www.goo-net.com/usedcar/spread/goo/15/700020027430220426003.html,91万円,--万円,8km,0,0,2025年3月,2022,660,4,2WD,ガソリン,5D,CVT,0,ブルー,646,寒冷地仕様,−,−,3395x1475x1500mm,650,FF,無鉛レギュラーガソリン,49ps(36kW)/6800rpm,25km/リットル,35.2km/リットル,−,0,0,5,5,無し
2,スズキ,アルトラパン,https://www.goo-net.com/usedcar/spread/goo/15/700020059130180225001.html,39.5万円,--万円,6.0万km,0,1,なし,2010,660,4,2WD,ガソリン,5D,インパネAT,0,チェリーピンクパールメタリック,137,−,−,−,3395x1475x1510mm,790,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,−,22.5km/リットル,0,0,4,5,無し
3,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/19/917022070901100966003.html,95.8万円,106万円,3.3万km,0,0,車検整備付,2014,660,4,2WD,ガソリン,5D,インパネAT,0,クールミストメタリック,132,−,−,−,3395x1475x1780mm,950,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,24.2km/リットル,−,1,1,4,4,無し
4,スズキ,アルト,https://www.goo-net.com/usedcar/spread/goo/15/700060247230220131001.html,9.8万円,--万円,4.2万km,0,0,なし,2007,660,4,2WD,ガソリン,5D,3AT,0,シルバーＭ,532,−,−,−,3395x1475x1500mm,720,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,−,24.0km/リットル,1,0,3,3,無し
5,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/15/700020676530220716002.html,19.8万円,30.9万円,6.3万km,0,0,車検整備付,2007,660,4,2WD,ガソリン,5D,4AT,0,ツートン,192,−,−,−,3395x1475x1615mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,−,18.6km/リットル,0,1,3,4,無し
6,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/12/700040065230211226001.html,53.9万円,60万円,9.9万km,0,0,車検整備付,2013,660,4,2WD,ガソリン,5D,インパネAT,0,ブラックマイカメタリック,204,−,−,−,3395x1475x1635mm,820,FF,無鉛レギュラーガソリン,52ps(38kW)/7200rpm,−,−,25.0km/リットル,0,1,3,3,無し
7,スズキ,アルト,https://www.goo-net.com/usedcar/spread/goo/12/700040057730220531006.html,32.7万円,40.9万円,7.3万km,0,0,車検整備付,2010,660,4,4WD,ガソリン,5D,CVT,0,ライトブルー,825,−,−,−,3395x1475x1545mm,810,フルタイム４WD,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,21.8km/リットル,23.5km/リットル,1,1,4,3,有 中度
8,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/13/700055085030220506002.html,59万円,--万円,6.8万km,0,0,なし,2013,660,4,2WD,ガソリン,5D,AT,0,パール,42,−,339,−,3395x1475x1660mm,790,FF,無鉛レギュラーガソリン,52ps(38kW)/6000rpm,−,30.0km/リットル,−,1,0,4,4,無し
9,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/14/700903034630220326001.html,212万円,--万円,5km,0,0,2024年12月,2021,660,4,4WD,ガソリン,5D,CVT,0,パールホワイト,479,−,339,−,3395x1475x1815mm,990,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,19km/リットル,23.0km/リットル,−,1,0,5,5,無し
